Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 15000, Page fault: 13130, Time: 0.035825
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 20000, Page fault: 17493, Time: 0.047533
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 25000, Page fault: 21884, Time: 0.059144
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 30000, Page fault: 26241, Time: 0.070999
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 35000, Page fault: 30601, Time: 0.084346
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 40000, Page fault: 34969, Time: 0.096323
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 45000, Page fault: 39309, Time: 0.108068
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 80%, Period: 100, Line: 50000, Page fault: 43690, Time: 0.120029
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 5000, Page fault: 4398, Time: 0.012546
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 10000, Page fault: 8818, Time: 0.024719
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 15000, Page fault: 13175, Time: 0.036806
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 20000, Page fault: 17555, Time: 0.048946
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 25000, Page fault: 21945, Time: 0.060691
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 30000, Page fault: 26331, Time: 0.072149
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 35000, Page fault: 30682, Time: 0.083686
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 40000, Page fault: 35067, Time: 0.095175
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 45000, Page fault: 39384, Time: 0.106643
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 90%, Period: 100, Line: 50000, Page fault: 43740, Time: 0.118755
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 5000, Page fault: 4446, Time: 0.012272
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 10000, Page fault: 8822, Time: 0.024346
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 15000, Page fault: 13172, Time: 0.036154
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 20000, Page fault: 17626, Time: 0.047969
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 25000, Page fault: 22027, Time: 0.060115
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 30000, Page fault: 26383, Time: 0.071795
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 35000, Page fault: 30739, Time: 0.08327
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 40000, Page fault: 35138, Time: 0.095002
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 45000, Page fault: 39534, Time: 0.106847
Frame: 128, Page: 1024, Strategy: NRU, Modify Pct: 100%, Period: 100, Line: 50000, Page fault: 43904, Time: 0.118623
